run_id,model_name,family,scale,temperature,observed_focus_heuristic,policy_focus_heuristic,top_observed_digit,top_observed_digit_prob,top_observed_position,top_observed_position_prob,observed_position_js_to_uniform_bits,observed_digit_js_to_uniform_bits,ordering_diversity_count,ordering_diversity_digits,ordering_top_digit_pattern,invalid_rate_mean,invalid_rate_max
phase5_gemma3_1b_ordering_study_4bit__20260328T150334Z,google/gemma-3-1b-it,Gemma,1B,0.0,position-leaning,position-leaning,3,0.4,1,0.8,0.6100367212847755,0.3681595027435627,4,"3,6,8,9","ascending=3, descending=9, random_001=6, random_002=8, random_003=3",0.0,0.0
phase5_gemma3_1b_ordering_study_4bit__20260328T150334Z,google/gemma-3-1b-it,Gemma,1B,0.2,position-leaning,position-leaning,3,0.4,1,0.7975,0.6016056791268791,0.3602944230778425,4,"3,6,8,9","ascending=3, descending=9, random_001=6, random_002=8, random_003=3",0.0,0.0
phase5_llama32_1b_ordering_study_4bit__20260328T154719Z,meta-llama/Llama-3.2-1B-Instruct,Llama,1B,0.0,digit-leaning,digit-leaning,8,0.6,1,0.2,0.2686664765895092,0.5846440949326401,2,"7,8","ascending=7, descending=8, random_001=8, random_002=8, random_003=7",0.0,0.0
phase5_llama32_1b_ordering_study_4bit__20260328T154719Z,meta-llama/Llama-3.2-1B-Instruct,Llama,1B,0.2,digit-leaning,digit-leaning,7,0.48,5,0.295,0.1097821325886392,0.3487038895529838,2,"7,8","ascending=7, descending=8, random_001=8, random_002=8, random_003=7",0.0,0.0
phase5_llama32_3b_ordering_study_4bit__20260328T155138Z,meta-llama/Llama-3.2-3B-Instruct,Llama,3B,0.0,digit-leaning,digit-leaning,9,0.6,1,0.2,0.2686664765895092,0.4851510687785866,3,"3,5,9","ascending=5, descending=9, random_001=3, random_002=9, random_003=9",0.0,0.0
phase5_llama32_3b_ordering_study_4bit__20260328T155138Z,meta-llama/Llama-3.2-3B-Instruct,Llama,3B,0.2,digit-leaning,digit-leaning,9,0.5275000000000001,6,0.19,0.1706937618510823,0.3786040456908954,3,"3,5,9","ascending=5, descending=9, random_001=3, random_002=9, random_003=9",0.0,0.0
phase3_qwen_ordering_study__20260328T133536Z,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5,0.5B,0.0,digit-leaning,digit-leaning,1,0.6,7,0.4,0.4676525288976161,0.5846440949326401,2,"1,7","ascending=7, descending=1, random_001=1, random_002=1, random_003=7",0.0,0.0
phase3_qwen_ordering_study__20260328T133536Z,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5,0.5B,0.2,digit-leaning,digit-leaning,1,0.5900000000000001,9,0.3675,0.2554495013858945,0.4702024135254987,2,"1,7","ascending=7, descending=1, random_001=1, random_002=1, random_003=7",0.0,0.0
phase4_qwen15b_ordering_study__20260328T140352Z,Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5,1.5B,0.0,digit-leaning,digit-leaning,1,0.8,9,0.4,0.3681595027435627,0.6100367212847755,2,"1,3","ascending=3, descending=1, random_001=1, random_002=1, random_003=1",0.0,0.0
phase4_qwen15b_ordering_study__20260328T140352Z,Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5,1.5B,0.2,digit-leaning,digit-leaning,1,0.7925,9,0.4,0.3504869918963609,0.5728260758611151,2,"1,3","ascending=3, descending=1, random_001=1, random_002=1, random_003=1",0.0,0.0
phase5_qwen3_4b_ordering_study_4bit__20260328T151737Z,Qwen/Qwen3-4B-Instruct-2507,Qwen3,4B,0.0,mixed,mixed,5,0.6,1,0.4,0.4676525288976161,0.4851510687785866,3,"3,5,6","ascending=5, descending=5, random_001=6, random_002=5, random_003=3",0.0,0.0
phase5_qwen3_4b_ordering_study_4bit__20260328T151737Z,Qwen/Qwen3-4B-Instruct-2507,Qwen3,4B,0.2,mixed,mixed,5,0.5974999999999999,1,0.4025,0.4680125438378482,0.4767921277272873,3,"3,5,6","ascending=5, descending=5, random_001=6, random_002=5, random_003=3",0.0,0.0
phase3_smollm_ordering_study__20260328T132704Z,HuggingFaceTB/SmolLM2-135M-Instruct,SmolLM,135M,0.0,digit-leaning,digit-leaning,1,0.8,1,0.2,0.3149331812716073,0.6563034259668736,1,1,"ascending=1, descending=1, random_001=1, random_002=1, random_003=1",0.2,1.0
phase3_smollm_ordering_study__20260328T132704Z,HuggingFaceTB/SmolLM2-135M-Instruct,SmolLM,135M,0.2,digit-leaning,digit-leaning,1,0.9913043478260868,9,0.391304347826087,0.347219480671132,0.7176179276375199,1,1,"ascending=1, descending=1, random_001=1, random_002=1, random_003=1",0.315,0.7125
phase4_smollm17b_ordering_study__20260328T141107Z,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM,1.7B,0.0,mixed,mixed,7,0.4,1,0.4,0.3681595027435627,0.3681595027435627,4,"3,7,8,9","ascending=3, descending=9, random_001=7, random_002=8, random_003=7",0.0,0.0
phase4_smollm17b_ordering_study__20260328T141107Z,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM,1.7B,0.2,digit-leaning,digit-leaning,7,0.4549999999999999,1,0.3025,0.2912592199623619,0.3334352035558413,4,"3,7,8,9","ascending=3, descending=9, random_001=7, random_002=8, random_003=7",0.0,0.0
